Machine,Shift,Operator,Date,Cable Failures,Cable Failure Downtime,Other Failures,Other Failure Downtime
3,A,10,11/12/2020,1,40,0,0
2,A,3,11/10/2020,3,60,1,15
12,A,16,11/20/2020,1,25,0,0
5,A,9,11/17/2020,1,50,0,0
3,A,10,11/22/2020,0,0,2,85
5,A,9,11/22/2020,1,60,0,0
13,B,27,11/14/2020,1,30,0,0
5,A,9,11/13/2020,0,0,0,0
5,A,9,11/17/2020,2,110,0,0
2,B,6,11/15/2020,3,100,0,0
16,B,26,11/22/2020,1,30,0,0
2,B,6,11/13/2020,0,0,2,160
2,B,3,11/18/2020,0,0,1,135
13,A,25,11/16/2020,1,20,0,0
5,B,14,11/22/2020,3,155,0,0
7,A,9,11/21/2020,1,35,0,0
4,A,4,11/13/2020,3,50,0,0
3,B,8,11/10/2020,2,60,1,20
7,A,9,11/14/2020,1,55,0,0
5,A,9,11/9/2020,2,140,0,0
2,B,6,11/14/2020,3,75,0,0
10,A,32,11/22/2020,0,0,2,130
7,A,9,11/21/2020,1,30,0,0
3,A,6,11/18/2020,2,50,0,0
7,B,14,11/12/2020,1,60,0,0
1,B,21,11/14/2020,1,120,0,0
8,A,31,11/18/2020,5,225,1,120
8,A,31,11/19/2020,0,0,1,400
1,A,1,11/18/2020,1,60,0,0
10,A,16,11/18/2020,0,0,1,40
14,A,26,11/10/2020,3,65,0,0
14,B,27,11/15/2020,2,120,0,0
4,B,5,11/9/2020,2,60,0,0
5,A,15,11/16/2020,2,60,2,115
1,A,4,11/8/2020,0,0,1,40
16,B,27,11/13/2020,0,0,1,300
2,B,1,11/9/2020,0,0,1,20
3,B,8,11/9/2020,2,60,0,0
4,A,4,11/12/2020,2,45,0,0
10,A,19,11/13/2020,0,0,1,25
6,A,11,11/10/2020,0,0,0,0
1,A,1,11/6/2020,1,35,1,30
8,B,13,11/16/2020,3,175,0,0
7,A,9,11/19/2020,3,105,0,0
15,B,26,11/21/2020,1,15,0,0
7,B,14,11/10/2020,2,105,0,0
7,B,14,11/19/2020,1,30,0,0
8,B,15,11/10/2020,4,160,0,0
5,B,14,11/15/2020,1,80,0,0
4,B,5,11/12/2020,1,20,1,30
